NCTId,BriefTitle,EligibilityCriteria,BriefSummary,Conditions,Interventions,PrimaryOutcomes,TrialGroup,API_BaselineMeasures,API_BaselineMeasures_Corrected
NCT01743001,Clinical Study to Evaluate the Effects of Macitentan on Exercise Capacity in Subjects With Eisenmenger Syndrome,"Inclusion Criteria:

* Subjects:

  * not participating in the hemodynamic sub-study: males or females ≥ 12 years of age.
  * participating in the hemodynamic sub-study: males or females ≥ 18 years of age.
* Subjects (including those with Down Syndrome \[DS\]) with confirmed Eisenmenger Syndrome \[ES\] (European Society of Cardiology \[ESC\] and the European Respiratory Society \[ERS\] guidelines):

  1. Established by echocardiography as:

     * Large congenital shunting defect at atrial, ventricular or arterial level\*
     * and right to left shunt or bi-directional shunt with prevalent right to left direction.
  2. Resting peripheral oxygen saturation (SpO2) ≤ 90% and \> 70% (pulse oximetry, room air).

The lower limit is 65% if a subject is living at an altitude greater than 2500 m above sea level.

\*Subjects with any of the following open defects are eligible for the study either as an isolated defect or in combination:

* atrial septal defect (ASD)
* ventricular septal defect (VSD)
* partial or complete atrioventricular septal defect (AVSD)
* patent ductus arteriosus (PDA)
* aortopulmonary window (AP window)
* total or partial anomalous pulmonary venous return (TAPVR, PAPVR) The defects may be either unoperated or previously palliated surgically (provided significant residual defect remains).

The Steering Committee will review the echocardiography data of all subjects (main study and sub study) to confirm eligibility prior to Randomization.

* Subjects with the following findings at cardiac catheterization:

  * Mean resting pulmonary arterial pressure (mPAP) \> 25 mmHg
  * Pulmonary capillary wedge pressure (PCWP) or mean left atrial pressure (LAP) or left ventricular end diastolic pressure (LVED) ≤ 15 mmHg
  * Pulmonary vascular resistance (PVR) ≥ 800 dyn∙s/cm5 or ≥ 10 Wood units
* Subjects with WHO functional class ≥ II.
* Subjects able to reliably perform the the 6-minute walk test (6MWT) with a minimum distance of 50 m and a maximum distance of 450 m.

Exclusion Criteria:

- Main study and hemodynamic sub-study: Any of the following conditions previously known or identified via cardiac catheterization or echocardiography:

* Pulmonary arterial or venous stenosis \> 25% size of native pulmonary artery (PA) or pulmonary vein
* Severe tricuspid regurgitation in the setting of left to right shunt at the ventricular or atrial level
* Greater than mild tricuspid stenosis
* Intracavitary RV outflow obstruction
* Greater than mild mitral stenosis
* Intracavitary LV outflow obstruction
* Subvalvular or supravalvular aortic stenosis
* Aortic coarctation
* Greater than moderate mitral regurgitation
* Recognized extracardiac systemic venous collaterals to the pulmonary venous circulation
* Recognized hepatic wedge pressure-inferior vena cava pressure gradient \>12 mm Hg
* PCWP ""v"" waves \>20 mmHg
* Tetralogy of Fallot
* Truncus arteriosus
* Interrupted aortic arch
* Transposition of great arteries
* Single ventricle defects: absent AV connection (mitral or tricuspid atresia), double inlet AV connections left or right ventricle, functional univentricular heart (unbalanced AVSD, hypoplastic RV, double outlet RV), hypoplastic left heart syndrome
* Ebstein's anomaly
* Severe aortic regurgitation
* Pulmonary atresia
* PAPVR or TAPVR, ONLY if there is lung hypoplasia or if documentation confirming the absence of lung hypoplasia does not exist.

For subjects participating in the hemodynamic sub-study the following will also be considered exclusion criteria:

* SVC stenosis \>25% size of native vessel
* PDA, AP window, TAPVR, PAPVR, or ASD sinus venosus with anomalous pulmonary veins
* Down Syndrome

  * Subjects with deterioration of their clinical status within 3 months prior to Screening or during the Screening period.
  * Known moderate-to-severe restrictive (i.e., total lung capacity \[TLC\] \< 60% of predicted value) or obstructive lung disease (i.e., forced expiratory volume in one second \[FEV1\] \< 80 % of predicted value, and with FEV1 / forced vital capacity \[FVC\] \< 70%)
  * Treatment with prostanoids within 1 month prior to Randomization
  * Subjects who initiated a PDE-5 inhibitor within 1 month prior to Randomization or those on a PDE-5 inhibitor for whom the dose has not been stable within 1 month prior to Randomization
  * Treatment with endothelin receptor antagonists (ERAs) within 1 month prior to Randomization
  * Subjects who initiated diuretics within 1 week prior to Randomization or subjects whose diuretic treatment has not been stable for at least 1 week prior to Randomization
  * Subjects being considered for an organ transplant","Clinical study to assess the efficacy, safety, and tolerability of macitentan in subjects with Eisenmenger Syndrome.","Pulmonary Arterial Hypertension, ","Macitentan 10 mg, Placebo, ","Change From Baseline to Week 16 in Exercise Capacity, as Measured by 6-minute Walk Distance (6MWD), ",hypertension,"Age, Continuous, Age, Customized, Sex: Female, Male, Region of Enrollment, Body Mass Index (BMI), WHO functional class, ","`Age, Continuous`, `Age, Customized`, `Sex: Female, Male`, `Region of Enrollment`, `Body Mass Index (BMI)`, `WHO functional class`, "
NCT03439189,Companion Protocol for Methacetin Breath Test (MBT) in Conatus Protocol IDN-6556-14,"Inclusion Criteria:

1. Male or female subjects 18 years or older, able to provide written informed consent and able to understand and willing to comply with the requirements of the study.
2. Cirrhosis due to NASH with exclusion of other causes of cirrhosis (e.g. chronic viral hepatitis, alcoholic liver disease, etc.)
3. Compensated cirrhosis OR Decompensated cirrhosis with no more than 1 prior significant decompensating event.
4. Severe portal hypertension defined as HVPG ≥12 mmHg
5. Subjects who are on NSBB, nitrates, diuretics, lactulose, rifaximin, or statins must be on a stable dose for at least 3 months prior to Day 1
6. Willingness to utilize effective contraception (for both males and females of childbearing potential) from Screening to 4 weeks after the last dose of study drug

Exclusion Criteria:

1. Evidence of severe decompensation
2. Severe hepatic impairment defined as a Child-Pugh score ≥10
3. ALT \>3 times upper limit of normal (ULN) or AST \>5 times ULN during screening
4. Estimated creatinine clearance \<30 mL/min
5. Prior transjugular intrahepatic portosystemic shunt or other porto-systemic bypass procedure
6. Known portal vein thrombosis
7. Symptoms of biliary colic, e.g. due to symptomatic gallstones, within the last 6 months, unless resolved following cholecystectomy, other definitive treatment (e.g. sphincterotomy), or medical management (e.g. ursodeoxycholic acid)
8. Current use of medications that are considered inhibitors of OATP1B1 and OATP1B3 transporters
9. Alpha-fetoprotein \>50 ng/mL
10. History or presence of clinically concerning cardiac arrhythmias, or prolongation of screening (pre-treatment) QTcF interval of \>500 msec
11. History of or active malignancies, other than those successfully treated with curative intent and believed to be cured
12. Prior liver transplant
13. Change in diabetes medications or vitamin E within 3 months of screening
14. Uncontrolled diabetes mellitus (HbA1c \>9%) within 3 months of screening
15. Significant systemic or major illness other than liver disease
16. HIV infection
17. Use of controlled substances (including inhaled or injected drugs) or non-prescribed use of prescription drugs within 1 year of screening
18. If female: planned or known pregnancy, positive urine or serum pregnancy test, or lactating/breastfeeding
19. Previous treatment with emricasan or active investigational medication (except methacetin) in a clinical trial within 3 months prior to Day 1","To validate the ability of the Methacetin Breath Test (MBT) to detect clinically significant portal hypertension (CSPH)/severe portal hypertension (SPH) defined as hepatic venous pressure gradient (HVPG) ≥ 10 mmHg and HVPG ≥ 12 mmHg respectively, in patients with non-alcoholic steatohepatitis (NASH) during the course of treatment with Conatus's investigational product emricasan/placebo.","NASH - Nonalcoholic Steatohepatitis, Cirrhosis, Portal Hypertension, ","Methacetin Breath Test, Emricasan, Placebo oral capsule, ","Number of Subjects With Matched Clinically Significant Portal Hypertension Based on Hepatic Venous Pressure Gradient (HVPG) and Methacetin Breath Test (MBT), ",hypertension,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, BMI, Compensated (Liver disease), ","`Age, Continuous`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Region of Enrollment`, `BMI`, `Compensated (Liver disease)`, "
NCT00458003,Phenylephrine in Spinal Anesthesia in Preeclamptic Patients,"Inclusion Criteria:

* ASA PS II - III women
* 18 years old and older
* scheduled for cesarean delivery (no trial of labor)
* eligible for spinal anesthesia
* diagnosis of preeclampsia

Exclusion Criteria:

* patients with failed trial of labor
* preexisting hypertension
* body mass index (BMI) ≥ 40 kg/m2
* resting heart rate \< 60 bpm
* progression to eclampsia, \> twin gestation
* known fetal anomalies
* contraindications to spinal anesthesia
* emergency procedure or refusal of consent
* failure to achieve a T6 level of anesthesia
* conversion to general anesthesia","Hypotension remains a common clinical problem after induction of spinal anesthesia for cesarean delivery. Maternal hypotension has been associated with considerable morbidity (maternal nausea and vomiting and fetal/neonatal acidemia). Traditionally, ephedrine has been the vasopressor of choice because of concerns about phenylephrine's potential adverse effect on uterine blood flow. This practice was based on animal studies which showed that ephedrine maintained cardiac output and uterine blood flow, while direct acting vasoconstrictors, e.g., phenylephrine, decreased uteroplacental perfusion. However, several recent studies have demonstrated that phenylephrine has similar efficacy to ephedrine for preventing and treating hypotension and may be associated with a lower incidence of fetal acidosis. All of these studies have been performed in healthy patients undergoing elective cesarean delivery.

Preeclampsia complicates 5-6% of all pregnancies and is a significant contributor to maternal and fetal morbidity and mortality. Many preeclamptic patients require cesarean delivery of the infant. These patients often have uteroplacental insufficiency. Given the potential for significant hypotension after spinal anesthesia and its effect on an already compromised fetus, prevention of (relative) hypotension in preeclamptic patients is important. Spinal anesthesia in preeclamptic patients has been shown to have no adverse neonatal outcomes as compared to epidural anesthesia when hypotension is treated adequately. Due to problems related to management of the difficult airway and coagulopathy, both of which are more common in preeclamptic women, spinal anesthesia may be the preferred regional anesthesia technique. Recent studies have demonstrated that preeclamptic patients may experience less hypotension after spinal anesthesia than their healthy counterparts. To our knowledge, phenylephrine for the treatment of spinal anesthesia-induced hypotension has not been studied in women with preeclampsia. The aim of our study is to compare intravenous infusion regimens of phenylephrine versus ephedrine for the treatment of spinal anesthesia induced hypotension in preeclamptic patients undergoing cesarean delivery. The primary outcome variable is umbilical artery pH.","Preeclampsia, Hypotension, ","Ephedrine, Phenylephrine, ","The Umbilical Artery pH, ",hypertension,"Age, Categorical, Sex: Female, Male, Region of Enrollment, Estimated gestational age (weeks), Multiple gestation, Preeclampsia, Number of infants delivered per group, Baseline systolic blood pressure, Baseline heart rate, Body mass index, ","`Age, Categorical`, `Sex: Female, Male`, `Region of Enrollment`, `Estimated gestational age (weeks)`, `Multiple gestation`, `Preeclampsia`, `Number of infants delivered per group`, `Baseline systolic blood pressure`, `Baseline heart rate`, `Body mass index`, "
NCT02056626,Conditioned Pharmacotherapeutic Effects in Hypertension,"Inclusion Criteria:

* systolic blood pressure between 140-160 mmHG
* between 18-80 years old

Exclusion Criteria:

* abnormal renal function
* currently pregnant, or trying to become pregnant
* being treated with a beta-blocker
* use of illicit drugs","The proposed research is designed to determine if the application of classical conditioning operations could influence the clinical effects of a regimen of antihypertensive drug therapy. It will be determined if, capitalizing on conditioned pharmacotherapeutic effects, patients can be effectively treated with smaller cumulative amounts of drug.","Hypertension, ","carvedilol, ","Mean Systolic Blood Pressure, Mean Systolic Blood Pressure, Mean Systolic Blood Pressure, ",hypertension,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Number of participants taking other antihypertensives, Mean systolic blood pressure, ","`Age, Continuous`, `Sex: Female, Male`, `Race (NIH/OMB)`, `Region of Enrollment`, `Number of participants taking other antihypertensives`, `Mean systolic blood pressure`, "
NCT01780974,Pilot Study: Lipoic Acid and Omega-3 Fatty Acids for Alzheimer's Prevention,"Inclusion Criteria:

* 55 years or older
* Non-demented: Montreal Cognitive Assessment \> 26 and Clinical Dementia Rating = 0
* Diagnosis of Essential Hypertension with systolic 90-160 mm Hg and diastolic 60-90 mm Hg
* Stable dose of antihypertensive medication 4 month prior to study enrollment
* Stable dose of lipid lowering medication - dose must be stable for 4 months prior to study enrollment
* Low Omega-3 fatty acid Status: Omega-3 index, \< 4% of total fatty acid of combined docosahexaenoic acid and eicosapentanoic acid
* Geriatric Depression Scale \< 5
* General health status that will not interfere with the participant's ability to complete the study.
* Screening laboratory values within normal limits or, if abnormal, deemed clinically insignificant by the investigator
* Sufficient English language skills to complete all testing

Exclusion Criteria:

* Alzheimer's, Dementia or other neurodegenerative disease.
* Health conditions such as cancer diagnosed \< 5 years prior to enrollment (prostate cancer gleason grade \< 3 and non metastatic skin cancers are acceptable), liver disease, history of ventricular fibrillation or ventricular tachycardia, major psychiatric disorder, central nervous system diseases (e.g. brain tumor, seizure disorder)
* Insulin dependent diabetes or uncontrolled diabetes (diabetes controlled on medications other than insulin are acceptable)
* Fish intake of one 6 ounce serving \> once a week less than 4 months prior to enrollment
* Omega-3 fatty acid supplement intake (e.g. fish oil capsules, cod liver oil) less than 4 months prior to enrollment
* Lipoic Acid supplementation less than 1 month prior to enrollment
* Taking systemic corticosteroids, neuroleptics, antiparkinsonian agents, and/or narcotic analgesics. Low dose sinemet and dopamine agonist taken once a day for restless leg syndrome is not an exclusion.
* Contraindications to MRI, including: subjects with intrathecal pumps, stimulators, pacemakers, aneurysm clips, non-removable hearing aids, or metal fragments in the eyes. Other exclusion criteria include the inability to lie flat on the back for 40 minutes at a time or a self-reported history of claustrophobia. Subjects with a history of hip replacement and those with well-documented, verifiable, MRI-safe cardiac stents will not be excluded from the study.
* Enrollment in another treatment study","The primary aim of the pilot study is to provide data that can be used to better determine sample size for the design of a larger clinical trial. The pilot will evaluate the effectiveness of Lipoic Acid (LA) plus Omega-3 fatty acids (Omega-3) on preventing Alzheimer's Disease (AD). The investigators will also collect data to evaluate recruitment rate, safety, and compliance over the 12 month study period.","Treated Hypertension, ","Lipoic Acid plus Omega-3 Fatty Acids, Placebo, ","Trails Making Test Part B (Executive Function), ",hypertension,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Education, Apo E4 Carrier, Systolic BP, Diastolic BP, Exercise, Smoking, Arachidonic Acid (AA), Eicosapentaenoic Acid (EPA), Docosahexaenoic Acid (DHA), ","`Age, Continuous`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Education`, `Apo E4 Carrier`, `Systolic BP`, `Diastolic BP`, `Exercise`, `Smoking`, `Arachidonic Acid (AA)`, `Eicosapentaenoic Acid (EPA)`, `Docosahexaenoic Acid (DHA)`, "
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,"Inclusion Criteria:

* African-American, Hispanic, or Asian individuals over age 40
* Caucasian individuals over age 65
* Individuals of any ethnicity, over age 40 with a family history of glaucoma
* Individuals of any ethnicity, over age 40 with diabetes
* Individuals who meet one of the above criteria who have not seen an ophthalmologist in the past year

Exclusion Criteria:

Any patient with previously diagnosed glaucoma, glaucoma suspect, or eye diseases who is currently being followed by an ophthalmologist

-","The goal is to conduct a 5-year prospective, randomized controlled trial to test an innovative, community-based intervention using posterior and anterior fundus photography of the optic nerve and macula and intraocular eye pressure measurements to improve access and utilization of eye care to detect, treat, and manage high-risk patients with previously undiagnosed glaucoma and other eye diseases. Research shows that subject failure to attend follow-up eye care appointments diminishes any previous benefits of community screenings for glaucoma. Greater adherence to follow-up visits can reduce glaucomatous blindness.","Glaucoma, Glaucoma Suspect, Diabetic Retinopathy, Ocular Hypertension, Cataract, Branch Retinal Vein Occlusion, Branch Retinal Arterial Occlusion, Central Retinal Vein Occlusion, Central Retinal Artery Occlusion, Epi-retinal Membrane, Macular Degeneration, Drusen, Loss of Vision, ","Free Eye Screenings, Enhanced Intervention, Usual Care, ","Fundus Camera Images Via Telemedicine, Intraocular Pressure, Diagnostic Image Confirmation by Ophthalmologist, ",hypertension,"Age, Categorical, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Screening categories, ","`Age, Categorical`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Region of Enrollment`, `Screening categories`, "
NCT03804684,visuALL Field Analyzer (vFA) Compared to Standard Humphrey Automated Perimetry,"Inclusion Criteria:

* age 21 to 80 years
* Healthy subjects with no eye diseases, normal appearing optic nerve and retina, intraocular pressure less than 19 millimeters mercury and normal standard automatic perimetry (SAP).
* mild glaucoma subjects with less than -6 mean deviation
* moderate glaucoma subjects with -6 to -12 mean deviation

Exclusion Criteria:

* spherical refraction outside ± 3.0 diopters and cylinder correction outside 2.0 diopters
* Unreliable SAP (false positives, fixation losses and false negatives greater than 25% and/or observable testing artifacts)
* Unreliable visuALL Field Analyzer (vFA) (greater than 25% false positive, excessive fixation losses)
* SAP abnormality with pattern loss consistent with neurologic and/or other ocular diseases than glaucoma
* Intraocular surgery in study eye (except non-complicated cataract or refractive surgery performed more than 6 months before enrollment and without posterior capsule opacification)
* History of systemic condition known to affect visual function
* History of medication known to affect visual function",To determine age-adjusted reference values of the visuALL Field Analyzer (vFA) retinal sensitivity and to assess the repeatability of the measured values and compare them with those measured by a Standard Automatic Perimetry (SAP).,"Glaucoma, Open-Angle, ","Standard Automatic Perimetry Humphrey Field Analyzer, visuALL Field Analyzer, ","Mean Retinal Sensitivity From Two Machines, Global Correlation (Agreement Between Two Machines in the Overall Visual Field), ",hypertension,"Age, Categorical, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Mild to Moderate Glaucoma, Number of eyes analyzed, ","`Age, Categorical`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Region of Enrollment`, `Mild to Moderate Glaucoma`, `Number of eyes analyzed`, "
NCT02079805,A Study to Explore the Effects of Azilsartan Compared to Telmisartan on Insulin Resistance of Patients With Essential Hypertension on Type 2 Diabetes Mellitus by HOMA-R,"Inclusion Criteria:

1. The participant was given the diagnosis of grade I or II essential hypertension and was judged by the principal investigator or investigator that they can be appropriately treated with azilsartan 20 mg and telmisartan 40 mg.
2. Sitting systolic blood pressure of ≥ 130 mmHg and \< 180 mmHg or sitting diastolic blood pressure of ≥ 80 mmHg and \< 110 mmHg at the start of the treatment period (Week 0) Sitting blood pressure will be measured until 2 consecutive stable measurements are obtained (i.e., the difference between 2 measurements: diastolic blood pressure of \<5 mmHg and systolic blood pressure of \< 10 mmHg) after resting in a sitting position for at least 5 minutes. The average value of the last 2 measurements will be recorded (the first the decimal place is rounded off).
3. Type 2 diabetes mellitus
4. HbA1c (NGSP (National Glycohemoglobin Standardization Program) value) of \< 8.4% during 3 months before informed consent, with a ≤ 0.3% change in HbA1c (peak minus nadir) during 3 months before informed consent
5. No change in diet/exercise therapy during the 3 months before the informed consent in a participant who has been on diet/exercise therapy and instructed to improve life style (e.g., diet and exercise)
6. Age ≥ 20 years at the time of consent
7. Outpatients
8. Capable of providing written consent before participation in this study.

Exclusion Criteria:

1. Grade III essential hypertension (i.e., sitting systolic blood pressure 180 mmHg or sitting diastolic blood pressure ≥ 110 mmHg), secondary hypertension, or malignant hypertension.
2. Grade II essential hypertension (i.e., sitting systolic blood pressure ≥ 160 mmHg or sitting diastolic blood pressure ≥ 100 mmHg) for which antihypertensive drug(s) are used
3. Use of oral antihypertensive medication within 2 weeks before the start of the treatment period Participants who are on any antihypertensive agent at the time of informed consent can be enrolled in the study only after 2-week washout following informed consent.
4. Use of RAS inhibitors or thiazolidines within 3 months before the start of the treatment period
5. Type 1 diabetes mellitus
6. Fasting blood glucose of \< 180 mg/dL and HOMA-R of ≤ 1.6 at the start of the treatment period (Week 0)
7. Receiving or requiring any of the following at the time of informed consent:

   * Insulin, glucagon-like peptide-1 (GLP-1) receptor agonists, or other parenteral hypoglycemic agents
   * Combination therapy with 3 or more oral hypoglycemic agents
8. Change of antidiabetic medication (including dosage change) within 3 months before the start of the treatment period
9. Having diagnosed/treated any of the following cardiovascular diseases within 3 months before the start of the treatment period:

   * Cardiac disease/condition: myocardial infarction, coronary revascularization procedure
   * Cerebrovascular disease: cerebral infarction, cerebral haemorrhage, transient ischaemic attack
   * Advanced hypertensive retinopathy (retinal bleeding or oozing, papilloedema)
10. Having diagnosed/treated for any of the following cardiovascular diseases more than 3 months before the start of the treatment period, and is now still in unstable condition.

    * Cardiac disease/condition: myocardial infarction, coronary revascularization procedure
    * Cerebrovascular disease: cerebral infarction, cerebral haemorrhage, transient ischaemic attack
11. Past or current history of any of the following cardiovascular diseases.

    * Cardiac valve stenosis
    * Angina pectoris requiring medication
    * Congestive cardiac failure requiring medication
    * Arrhythmia requiring medication (e.g., paroxysmal atrial fibrillation, severe bradycardia, torsade de pointes, and ventricular fibrillation)
    * Arteriosclerosis obliterans with intermittent claudication or other symptoms
12. Have severe ketosis, diabetic coma or precoma, severe infection, or serious trauma
13. Clinically evident renal disorder (e.g., eGFR \<30 mL/min/1.73 m2)
14. Markedly low bile secretion or severe hepatic disorder
15. History of hypersensitivity or allergy to azilsartan or telmisartan or to both.
16. Presence of hyperkalemia (potassium level ≥ 5.5 mEq/L on laboratory testing)
17. Currently participating in any other clinical study.
18. Pregnant women, women with possible pregnancy, or breast-feeding women.
19. Other participants who are inappropriate for participation in this study in the opinion of the principal investigator or investigator.","Multicenter, randomized, open-label, parallel-group exploratory study to explore the effects of azilsartan (Azirva), compared with telmisartan, on insulin resistance in participants with essential hypertension complicated by type 2 diabetes mellitus","Essential Hypertension Complicated by Type 2 Diabetes Mellitus, ","Azilsartan, Telmisartan, ","Change in Insulin Resistance Index (HOMA-R) From Baseline at the End of the Treatment Period (Week 12), ",hypertension,"Age, Continuous, Sex: Female, Male, Weight, BMI, Smoking Classification, Alcohol Classification, Duration of Hypertention, Duration of Diabetes Mellitus, Taking Biguanides, Insulin Resistance Index (HOMA-R), Blood Pressure Systolic Mean, Blood Pressure Diastolic Mean, Glycosylated Hemoglobin (HbA1c), ","`Age, Continuous`, `Sex: Female, Male`, `Weight`, `BMI`, `Smoking Classification`, `Alcohol Classification`, `Duration of Hypertention`, `Duration of Diabetes Mellitus`, `Taking Biguanides`, `Insulin Resistance Index (HOMA-R)`, `Blood Pressure Systolic Mean`, `Blood Pressure Diastolic Mean`, `Glycosylated Hemoglobin (HbA1c)`, "
NCT00617305,Study of Add-on Ambrisentan Therapy to Background Phosphodiesterase Type-5 Inhibitor (PDE5i) Therapy in Pulmonary Arterial Hypertension (ATHENA-1),"Selected Inclusion Criteria

* Must be between 16 and 75 years of age;
* Must weigh at least 40 kg;
* Have a current diagnosis of idiopathic PAH, familial PAH, or PAH that is primarily due to connective tissue disease, congenital heart defects, drug or toxin use, or human immunodeficiency virus (HIV);
* Have WHO functional class III symptoms;
* Be receiving sildenafil or tadalafil monotherapy for the treatment of PAH for at least the past 12 weeks and at a stable dose for at least 8 consecutive weeks;
* Meet all of the following hemodynamic criteria by means of a right heart catheterization: mPAP of at least 25 mmHg; PVR of at least 400 dyne\*sec/cm5; pulmonary capillary wedge pressure (PCWP) or left ventricular end diastolic pressure (LVEDP) of not more than 15 mmHg;
* Meet all of the following pulmonary function test criteria no more than 12 weeks before the screening visit: total lung capacity at least 60% of predicted normal and forced expiratory volume in 1 second of at least 65% of predicted normal;
* Able to walk at least 150 meters during the screening 6-minute walk test (6MWT);
* If receiving calcium channel blockers or 5-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitors (i.e., statins) must be on stable therapy for at least 4 weeks;
* If diagnosed with HIV, must have stable disease status.

Selected Exclusion Criteria:

* Have a current pulmonary hypertension diagnosis other than idiopathic PAH, familial PAH, or PAH that is primarily due to connective tissue disease, congenital heart defects, drug or toxin use, or HIV;
* Have left ventricular ejection fraction (LVEF) ≤40% or clinically significant ischemic, valvular, or constrictive heart disease;
* Have received chronic prostanoid or endothelin receptor antagonist (ERA) therapy (eg, bosentan, sitaxsentan) within the past 12 weeks;
* Have discontinued ERA treatment for any adverse reaction other than those associated with liver function test abnormalities;
* Have received IV inotropes within 2 weeks;
* Have a serum alanine aminotransferase (ALT) or aspartate aminotransferase (AST) value that is greater than 2.0x the upper limit of normal.","To evaluate the change from baseline in pulmonary vascular resistance (PVR), and other hemodynamic parameters, following the addition of ambrisentan to background phosphodiesterase type-5 inhibitor (PDE-5i) therapy in subjects with pulmonary arterial hypertension (PAH) who have demonstrated a sub-optimal response to PDE-5i monotherapy.

The study was originally designed as a 2-arm, double-blind, randomized study in which patients received ambrisentan or placebo for 24 weeks, and then received ambrisentan blinded to dose for 24 weeks. With Protocol Amendment 2 (12 June, 2009), the study was switched to single-arm, open-label treatment, and all patients remaining in the placebo arm were switched to open-label ambrisentan treatment. Patients who enrolled after Amendment 2 all received open-label ambrisentan.","Pulmonary Arterial Hypertension, ","Ambrisentan, Placebo, Sildenafil, Tadalafil, ","Change From Baseline in Pulmonary Vascular Resistance (PVR), Last Observation Carried Forward (LOCF), ",hypertension,"Age, Categorical, Age Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race/Ethnicity, Customized, Region of Enrollment, ","`Age, Categorical`, `Age Continuous`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race/Ethnicity, Customized`, `Region of Enrollment`, "
NCT01056718,Effects of Nebivolol on Exercise Tolerance and Left Ventricular Systolic and Diastolic Function,"Inclusion Criteria:

* Diagnosis (new or established) hypertension, defined by serial measurements \>/= 140/90
* Evidence of diastolic dysfunction on echocardiography measured by tissue Doppler

Exclusion Criteria:

* Severe bronchospastic disease/ reactive airway disease
* Inability to tolerate beta blocker therapy including: \>1st degree atrioventricular (AV) block, symptomatic hypotension, symptomatic bradycardia,
* Subjects with physical limitations that would prevent them from participating in an exercise treadmill test
* Age \<18 or \>90 years
* Those with life expectancy \<1 year
* Subjects with class III/IV New York Heart Association (NYHA) heart failure symptoms
* Chronic Kidney Disease 3 or greater (CrCl \<30 cc/min)
* Subjects with active ischemia or evidence of ischemia on initial stress echocardiography","The goal of this pilot study is to effectively treat hypertension in subjects with either known or newly diagnosed hypertension and concurrent evidence of diastolic dysfunction. Due to the unique properties of nebivolol, it is hypothesized that there will be improvements in left ventricular (LV) systolic and diastolic function manifesting as increase exercise capacity in this patient population with primarily LV diastolic dysfunction. The present study was performed to determine the effects of nebivolol on blood pressure, exercise tolerance and parameters of left ventricular systolic and diastolic function in a group of hypertensive patients with echocardiographic evidence diastolic dysfunction.","Hypertension, ","Nebivolol, ","Resting Systolic BP, Exercise Duration, Metabolic Equivalent (METS) Level, ",hypertension,"Age, Categorical, Age, Continuous, Sex: Female, Male, Region of Enrollment, BMI, Resting Systolic BP, Exercise Duration, Metabolic Equivalent, Resting Diastolic BP, Peak Stress Systolic BP, Peak Stress Diastolic BP, Resting Heart Rate, Stress Heart Rate, Resting Ejection Fraction (EF), Stress EF, Resting Stroke Volume, Stress Stroke Volume, Resting Cardiac Output, Stress Cardiac Output, LV End Diastolic Diameter, LV End Systolic Diameter, LV Mass, Mitral Valve Inflow (E) Velocity, Mitral Valve Inflow (A) Velocity, Mitral Valve E/A Ratio, Mitral Valve Deceleration Time, Mitral Valve Tissue Doppler Velocity (e'), Mitral Valve Tissue Doppler Velocity (a'), E/e' Ratio, Pulmonary Vein Peak Systolic Velocity, Pulmonary Vein Peak Diastolic Velocity, Quality of Life, ","`Age, Categorical`, `Age, Continuous`, `Sex: Female, Male`, `Region of Enrollment`, `BMI`, `Resting Systolic BP`, `Exercise Duration`, `Metabolic Equivalent`, `Resting Diastolic BP`, `Peak Stress Systolic BP`, `Peak Stress Diastolic BP`, `Resting Heart Rate`, `Stress Heart Rate`, `Resting Ejection Fraction (EF)`, `Stress EF`, `Resting Stroke Volume`, `Stress Stroke Volume`, `Resting Cardiac Output`, `Stress Cardiac Output`, `LV End Diastolic Diameter`, `LV End Systolic Diameter`, `LV Mass`, `Mitral Valve Inflow (E) Velocity`, `Mitral Valve Inflow (A) Velocity`, `Mitral Valve E/A Ratio`, `Mitral Valve Deceleration Time`, `Mitral Valve Tissue Doppler Velocity (e')`, `Mitral Valve Tissue Doppler Velocity (a')`, `E/e' Ratio`, `Pulmonary Vein Peak Systolic Velocity`, `Pulmonary Vein Peak Diastolic Velocity`, `Quality of Life`, "
