NCTId,TrialGroup,Generation Model,Positive Hallucination,Negative Hallucination,Multi-match Hallucination,Correct Matches,Precision,Recall,F1
NCT00126737,obesity,gpt4o_ts_gen_hal,0,0,0,5,0.625,0.4166666666666667,0.5
NCT00283686,hypertension,gpt4o_ts_gen_hal,0,0,0,3,0.375,0.07894736842105263,0.13043478260869565
NCT00329030,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.46153846153846156,0.75,0.5714285714285714
NCT00360334,diabetes,gpt4o_ts_gen_hal,0,0,0,7,1.0,0.7777777777777778,0.8750000000000001
NCT00395746,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.625,1.0,0.7692307692307693
NCT00419562,diabetes,gpt4o_ts_gen_hal,0,0,0,9,0.6,0.9,0.7200000000000001
NCT00441064,hypertension,gpt4o_ts_gen_hal,0,0,0,7,0.7,0.5384615384615384,0.608695652173913
NCT00490529,cancer,gpt4o_ts_gen_hal,0,0,0,2,0.25,0.25,0.25
NCT00552409,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,6,0.5,0.75,0.6
NCT00556933,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,5,0.38461538461538464,0.22727272727272727,0.2857142857142857
NCT00568178,hypertension,gpt4o_ts_gen_hal,0,0,0,5,0.7142857142857143,0.4166666666666667,0.5263157894736842
NCT00618072,obesity,gpt4o_ts_gen_hal,0,0,1,8,0.6666666666666666,0.4444444444444444,0.5333333333333333
NCT00713830,diabetes,gpt4o_ts_gen_hal,0,0,0,10,0.5263157894736842,0.625,0.5714285714285714
NCT00751114,diabetes,gpt4o_ts_gen_hal,0,0,0,11,1.0,0.5,0.6666666666666666
NCT00781937,obesity,gpt4o_ts_gen_hal,0,0,0,8,0.4,1.0,0.5714285714285715
NCT00791479,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.7777777777777778,0.7,0.7368421052631577
NCT00793455,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.5,0.7142857142857143,0.588235294117647
NCT00819182,cancer,gpt4o_ts_gen_hal,0,0,0,7,0.6363636363636364,0.35,0.45161290322580644
NCT00863746,cancer,gpt4o_ts_gen_hal,0,1,0,6,0.2857142857142857,0.75,0.4137931034482759
NCT00896181,cancer,gpt4o_ts_gen_hal,0,0,0,3,0.2727272727272727,0.5,0.3529411764705882
NCT00917267,diabetes,gpt4o_ts_gen_hal,1,1,0,6,0.6,0.75,0.6666666666666665
NCT00949884,hypertension,gpt4o_ts_gen_hal,0,0,0,7,0.5384615384615384,0.7777777777777778,0.6363636363636364
NCT00962247,obesity,gpt4o_ts_gen_hal,0,0,0,3,0.42857142857142855,0.42857142857142855,0.42857142857142855
NCT00967668,obesity,gpt4o_ts_gen_hal,0,0,0,4,0.4444444444444444,0.5,0.47058823529411764
NCT01000480,cancer,gpt4o_ts_gen_hal,0,0,0,7,0.4375,0.875,0.5833333333333334
NCT01031680,diabetes,gpt4o_ts_gen_hal,0,0,0,7,1.0,0.4117647058823529,0.5833333333333334
NCT01101880,cancer,gpt4o_ts_gen_hal,6,0,0,2,0.16666666666666666,0.25,0.2
NCT01279109,obesity,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.4166666666666667,0.43478260869565216
NCT01357551,obesity,gpt4o_ts_gen_hal,11,0,0,5,0.2777777777777778,0.2631578947368421,0.27027027027027023
NCT01435603,diabetes,gpt4o_ts_gen_hal,0,0,0,8,0.6666666666666666,0.5,0.5714285714285715
NCT01441973,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.6,0.5454545454545454,0.5714285714285713
NCT01484873,obesity,gpt4o_ts_gen_hal,0,0,0,6,0.75,0.5,0.6
NCT01496469,hypertension,gpt4o_ts_gen_hal,0,1,0,8,0.6153846153846154,0.6153846153846154,0.6153846153846154
NCT01574157,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.22727272727272727,0.30303030303030304
NCT01592695,obesity,gpt4o_ts_gen_hal,2,0,0,6,0.75,0.35294117647058826,0.48
NCT01621178,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,8,0.5714285714285714,0.5714285714285714,0.5714285714285714
