NCTId,TrialGroup,Generation Model,Positive Hallucination,Negative Hallucination,Multi-match Hallucination,Correct Matches,Precision,Recall,F1
NCT00003901,cancer,gpt4o_ts_gen_hal,1,0,0,6,0.6666666666666666,0.5454545454545454,0.6
NCT00005879,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.25,0.4166666666666667,0.3125
NCT00005908,cancer,gpt4o_ts_gen_hal,0,0,0,3,0.16666666666666666,0.5,0.25
NCT00006110,cancer,gpt4o_ts_gen_hal,0,0,0,3,0.21428571428571427,0.42857142857142855,0.2857142857142857
NCT00006392,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.3333333333333333,0.625,0.43478260869565216
NCT00027846,cancer,gpt4o_ts_gen_hal,0,0,0,3,0.2727272727272727,0.5,0.3529411764705882
NCT00028093,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,7,0.4666666666666667,0.6363636363636364,0.5384615384615385
NCT00028769,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.2857142857142857,0.5,0.36363636363636365
NCT00052962,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.46153846153846156,1.0,0.631578947368421
NCT00062764,diabetes,gpt4o_ts_gen_hal,0,0,0,3,0.21428571428571427,0.3333333333333333,0.2608695652173913
NCT00063232,obesity,gpt4o_ts_gen_hal,0,0,0,5,0.25,0.7142857142857143,0.37037037037037035
NCT00063882,cancer,gpt4o_ts_gen_hal,1,1,0,6,0.6666666666666666,0.6,0.631578947368421
NCT00064753,chronic kidney disease,gpt4o_ts_gen_hal,1,0,0,6,0.4,0.46153846153846156,0.42857142857142855
NCT00066729,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.23529411764705882,0.6666666666666666,0.3478260869565218
NCT00069576,diabetes,gpt4o_ts_gen_hal,0,1,0,7,0.5384615384615384,0.7,0.608695652173913
NCT00069784,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.06542056074766354,0.7777777777777778,0.12068965517241378
NCT00079001,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.22727272727272727,0.8333333333333334,0.35714285714285715
NCT00079274,cancer,gpt4o_ts_gen_hal,1,0,0,5,0.5,0.5555555555555556,0.5263157894736842
NCT00080301,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.03260869565217391,0.5454545454545454,0.061538461538461535
NCT00082368,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.6666666666666666,0.4444444444444444,0.5333333333333333
NCT00085540,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.3,1.0,0.4615384615384615
NCT00086580,cancer,gpt4o_ts_gen_hal,0,0,0,7,0.4375,0.6363636363636364,0.5185185185185185
NCT00088530,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.36363636363636365,0.6666666666666666,0.4705882352941177
NCT00090519,diabetes,gpt4o_ts_gen_hal,0,0,0,8,0.7272727272727273,0.6666666666666666,0.6956521739130435
NCT00096382,cancer,gpt4o_ts_gen_hal,0,0,0,3,0.1875,0.5,0.2727272727272727
NCT00098020,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,3,0.17647058823529413,0.5,0.2608695652173913
NCT00100789,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.7142857142857143,0.5555555555555556
NCT00104572,diabetes,gpt4o_ts_gen_hal,1,0,1,5,0.03184713375796178,0.29411764705882354,0.05747126436781609
NCT00109031,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.4,0.6666666666666666,0.5
NCT00110084,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.20689655172413793,0.6666666666666666,0.31578947368421056
NCT00110214,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.26666666666666666,0.6666666666666666,0.3809523809523809
NCT00112294,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.4,0.6666666666666666,0.5
NCT00113074,hypertension,gpt4o_ts_gen_hal,0,0,1,7,0.6363636363636364,0.7777777777777778,0.7000000000000001
NCT00116779,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.5714285714285714,0.3333333333333333,0.4210526315789474
NCT00116831,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.4375,0.875,0.5833333333333334
NCT00117962,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.5,0.8333333333333334,0.625
NCT00118040,cancer,gpt4o_ts_gen_hal,0,0,0,4,0.2,0.6666666666666666,0.30769230769230765
NCT00121667,diabetes,gpt4o_ts_gen_hal,0,0,0,4,0.5714285714285714,0.4444444444444444,0.5
NCT00125853,hypertension,gpt4o_ts_gen_hal,0,0,0,3,0.3333333333333333,0.3,0.3157894736842105
